window_seconds,experiment,stage,mean_macro_f1,std_macro_f1,mean_accuracy,mean_balanced_accuracy,folds,protocol_status
1,M2,fixed_decoder,0.418271019998415,0.04500501709532935,0.6482572655728249,0.4555985886206176,4,legacy_exploratory_not_dasel_class_matched
1,M8,conditional_final,0.418271019998415,0.04500501709532935,0.6482572655728249,0.4555985886206176,4,legacy_exploratory_not_dasel_class_matched
1,M5,fixed_decoder,0.4090701067871798,0.09314713006656533,0.5884223423818261,0.476978834851189,4,legacy_exploratory_not_dasel_class_matched
1,M3,fixed_decoder,0.39424580567465134,0.07223655224179006,0.5970520736718509,0.46799884577910966,4,legacy_exploratory_not_dasel_class_matched
1,M0,fixed_decoder,0.39356385349738066,0.07193971074530417,0.5971809513059421,0.46616128995608924,4,legacy_exploratory_not_dasel_class_matched
1,M1,fixed_decoder,0.3908143596364624,0.05823861356725684,0.592491689808126,0.46965077849829034,4,legacy_exploratory_not_dasel_class_matched
1,M4,fixed_decoder,0.3858466156598369,0.06839036050832537,0.5511795117391617,0.47290638505027327,4,legacy_exploratory_not_dasel_class_matched
1,M7,final,0.38540047135682354,0.08633964981827182,0.6141483849198017,0.429078485448087,4,legacy_exploratory_not_dasel_class_matched
1,M6,final,0.3752560086492934,0.04551508019767548,0.6106771925598806,0.42217579581353354,4,legacy_exploratory_not_dasel_class_matched
3,M2,fixed_decoder,0.45133613837096426,0.06682358130144732,0.6910565592912686,0.4722905342574752,4,legacy_exploratory_not_dasel_class_matched
3,M8,conditional_final,0.45036384660829687,0.02314381543215561,0.676967334156303,0.4891445926470325,4,legacy_exploratory_not_dasel_class_matched
3,M5,fixed_decoder,0.45036384660829687,0.02314381543215561,0.676967334156303,0.4891445926470325,4,legacy_exploratory_not_dasel_class_matched
3,M0,fixed_decoder,0.4411050205943816,0.041997023261898525,0.6738465373123279,0.4978096241493199,4,legacy_exploratory_not_dasel_class_matched
3,M4,fixed_decoder,0.44103925214437373,0.06080512966712191,0.6055526191701148,0.4875787466093049,4,legacy_exploratory_not_dasel_class_matched
3,M3,fixed_decoder,0.43455392706481477,0.04572623334670379,0.6731383489402604,0.48652625500586894,4,legacy_exploratory_not_dasel_class_matched
3,M1,fixed_decoder,0.4297879472978673,0.06689871912368418,0.6553374529644233,0.4801301775969518,4,legacy_exploratory_not_dasel_class_matched
3,M6,final,0.41845053669536036,0.02706529715541536,0.6182379276708395,0.47474650722599016,4,legacy_exploratory_not_dasel_class_matched
3,M7,final,0.40279298869743,0.003616336773014958,0.6104665629986428,0.4636664058918085,4,legacy_exploratory_not_dasel_class_matched
