window_seconds,variant,decoder,room,support,precision_weighted,recall_weighted,f1_weighted,n_folds
1,M2,raw,508,44.0,0.1512691853600944,0.4545454545454545,0.1825757575757575,2.0
1,M2,causal_smoothing,508,44.0,0.2699867456728521,0.5,0.2610396189423545,2.0
1,M2,fixed_decoder,508,44.0,0.0047552447552447,0.0909090909090909,0.0090377458798511,2.0
1,M2,raw,cafeteria,4862.0,0.435703680583246,0.1762649115590292,0.2283643966458938,4.0
1,M2,causal_smoothing,cafeteria,4862.0,0.5142630076560606,0.1396544631838749,0.2058336941178494,4.0
1,M2,fixed_decoder,cafeteria,4862.0,0.6033920338218282,0.162690250925545,0.2405432288755645,4.0
1,M2,raw,hallway,946.0,0.1115345882427745,0.0179704016913319,0.0218154633052994,3.0
1,M2,causal_smoothing,hallway,946.0,0.1114778121944157,0.0116279069767441,0.007638928381492,3.0
1,M2,fixed_decoder,hallway,946.0,0.0,0.0,0.0,3.0
1,M2,raw,kitchen,5173.0,0.5457466152709859,0.7494683935820607,0.6223659182852764,4.0
1,M2,causal_smoothing,kitchen,5173.0,0.5867510337003767,0.8403247631935047,0.6831967672908035,4.0
1,M2,fixed_decoder,kitchen,5173.0,0.6147039376259267,0.8923255364392035,0.7198420905614356,4.0
1,M2,raw,nurse station,9363.0,0.8094772481029202,0.7184663035351917,0.7574077223358215,4.0
1,M2,causal_smoothing,nurse station,9363.0,0.8127030626913727,0.8106376161486702,0.8065114892562684,4.0
1,M2,fixed_decoder,nurse station,9363.0,0.8153919691998187,0.9083627042614548,0.852043927141306,4.0
3,M5,raw,508,24.0,0.0326305220883534,0.2083333333333333,0.0564236111111111,2.0
3,M5,causal_smoothing,508,24.0,0.0254901960784313,0.1666666666666666,0.0442176870748299,2.0
3,M5,fixed_decoder,508,24.0,0.5416666666666666,0.1666666666666666,0.2549019607843137,2.0
3,M5,raw,cafeteria,1875.0,0.4013678980647487,0.2944,0.3204063788849058,4.0
3,M5,causal_smoothing,cafeteria,1875.0,0.5307495863538896,0.3168,0.3590950877310491,4.0
3,M5,fixed_decoder,cafeteria,1875.0,0.5922213304847413,0.3194666666666667,0.3645743040741286,4.0
3,M5,raw,hallway,356.0,0.086771787366632,0.0196629213483146,0.020818883802654,3.0
3,M5,causal_smoothing,hallway,356.0,0.1737675947647857,0.0252808988764044,0.0233353292347158,3.0
3,M5,fixed_decoder,hallway,356.0,0.001316713483146,0.0140449438202247,0.0024077046548956,3.0
3,M5,raw,kitchen,2128.0,0.5963532533599178,0.6499060150375939,0.6105211907614025,4.0
3,M5,causal_smoothing,kitchen,2128.0,0.6217661136424513,0.7213345864661654,0.6551007860045543,4.0
3,M5,fixed_decoder,kitchen,2128.0,0.6314020457439056,0.7528195488721805,0.6762205847563071,4.0
3,M5,raw,nurse station,3424.0,0.8281472405532837,0.7029789719626168,0.7557270725768409,4.0
3,M5,causal_smoothing,nurse station,3424.0,0.8565913576484603,0.7774532710280374,0.8087664302903066,4.0
3,M5,fixed_decoder,nurse station,3424.0,0.8432527892518069,0.856892523364486,0.8464896688974254,4.0
