window_seconds,variant,test_day,decoder,true_room,pred_room,count
1,M2,2023-04-10,raw,501,501,37
1,M2,2023-04-10,raw,501,506,0
1,M2,2023-04-10,raw,501,508,0
1,M2,2023-04-10,raw,501,511,0
1,M2,2023-04-10,raw,501,516,12
1,M2,2023-04-10,raw,501,520,0
1,M2,2023-04-10,raw,501,523,1
1,M2,2023-04-10,raw,501,cafeteria,0
1,M2,2023-04-10,raw,501,cleaning,0
1,M2,2023-04-10,raw,501,hallway,0
1,M2,2023-04-10,raw,501,kitchen,0
1,M2,2023-04-10,raw,501,nurse station,0
1,M2,2023-04-10,raw,506,501,0
1,M2,2023-04-10,raw,506,506,46
1,M2,2023-04-10,raw,506,508,0
1,M2,2023-04-10,raw,506,511,0
1,M2,2023-04-10,raw,506,516,0
1,M2,2023-04-10,raw,506,520,0
1,M2,2023-04-10,raw,506,523,0
1,M2,2023-04-10,raw,506,cafeteria,0
1,M2,2023-04-10,raw,506,cleaning,12
1,M2,2023-04-10,raw,506,hallway,0
1,M2,2023-04-10,raw,506,kitchen,0
1,M2,2023-04-10,raw,506,nurse station,7
1,M2,2023-04-10,raw,508,501,0
1,M2,2023-04-10,raw,508,506,0
1,M2,2023-04-10,raw,508,508,13
1,M2,2023-04-10,raw,508,511,0
1,M2,2023-04-10,raw,508,516,0
1,M2,2023-04-10,raw,508,520,4
1,M2,2023-04-10,raw,508,523,0
1,M2,2023-04-10,raw,508,cafeteria,0
1,M2,2023-04-10,raw,508,cleaning,0
1,M2,2023-04-10,raw,508,hallway,0
1,M2,2023-04-10,raw,508,kitchen,0
1,M2,2023-04-10,raw,508,nurse station,0
1,M2,2023-04-10,raw,511,501,0
1,M2,2023-04-10,raw,511,506,0
1,M2,2023-04-10,raw,511,508,0
1,M2,2023-04-10,raw,511,511,0
1,M2,2023-04-10,raw,511,516,0
1,M2,2023-04-10,raw,511,520,0
1,M2,2023-04-10,raw,511,523,0
1,M2,2023-04-10,raw,511,cafeteria,1
1,M2,2023-04-10,raw,511,cleaning,2
1,M2,2023-04-10,raw,511,hallway,0
1,M2,2023-04-10,raw,511,kitchen,3
1,M2,2023-04-10,raw,511,nurse station,41
1,M2,2023-04-10,raw,516,501,5
1,M2,2023-04-10,raw,516,506,0
1,M2,2023-04-10,raw,516,508,0
1,M2,2023-04-10,raw,516,511,0
1,M2,2023-04-10,raw,516,516,5
1,M2,2023-04-10,raw,516,520,0
1,M2,2023-04-10,raw,516,523,0
