window_seconds,variant,feature,n_folds_selected,mean_priority_score,fold_selection_rate
1,M2,fp_match_confidence,4,0.6571323911051402,1.0
1,M2,fp_l1_margin,4,0.6486655577072148,1.0
1,M2,fp_js_margin,4,0.6195208999610032,1.0
1,M2,fp_cos_margin,4,0.6015106101781147,1.0
1,M2,present_B14,4,0.5945253081408817,1.0
1,M2,fp_cos_second,4,0.5856899658100944,1.0
1,M2,fp_l1_second,4,0.5474829402715689,1.0
1,M2,fp_l1_best,4,0.4927526702483429,1.0
1,M2,fp_cos_best,4,0.4752338607430948,1.0
1,M2,present_B09,4,0.40401146016409184,1.0
1,M2,rssi_max_all,4,0.3679896902033347,1.0
1,M2,present_B08,4,0.36218891723663105,1.0
1,M2,present_B23,4,0.33343146943574853,1.0
1,M2,present_B17,4,0.3333510526340201,1.0
1,M2,rssi_median_all,4,0.312404401333761,1.0
1,M2,present_B16,4,0.29190303515986044,1.0
1,M2,rssi_min_all,4,0.2912124141462751,1.0
1,M2,present_B04,4,0.28509236795991605,1.0
1,M2,present_B12,4,0.27666425356037844,1.0
1,M2,present_B03,4,0.26062932691136637,1.0
1,M2,present_B15,4,0.23398869306996478,1.0
1,M2,present_B07,4,0.23298765160107698,1.0
1,M2,present_B05,4,0.21409425222272557,1.0
1,M2,present_B02,4,0.20348413998899217,1.0
1,M2,present_B22,4,0.2014671001531291,1.0
1,M2,active_beacon_count,4,0.19235769908484027,1.0
1,M2,present_B21,4,0.1793726256838606,1.0
1,M2,present_B10,4,0.1573201787374393,1.0
1,M2,top3_beacon_count,4,0.15316247623901635,1.0
1,M2,freq_B04,4,0.13934661068482368,1.0
1,M2,rssi_mad_all,4,0.13793661024181286,1.0
1,M2,present_B18,4,0.13169791632243466,1.0
1,M2,fp_metric_agreement,4,0.12732161014806562,1.0
1,M2,present_B06,4,0.11688820094401436,1.0
1,M2,rssi_max_B14,4,0.11617647517465374,1.0
1,M2,rssi_min_B14,4,0.10829118887811597,1.0
1,M2,top2_beacon_rssi,4,0.10353635458732961,1.0
1,M2,rssi_median_B14,4,0.10315740143225574,1.0
1,M2,rssi_median_B09,4,0.09471515912060219,1.0
1,M2,rssi_max_B09,4,0.09296273820959625,1.0
1,M2,rssi_min_B09,4,0.08795355712777703,1.0
1,M2,rssi_rel_B08,4,0.05347286583476149,1.0
1,M2,rssi_max_B19,4,0.05176635485076517,1.0
1,M2,rssi_min_B08,4,0.03813181818584026,1.0
1,M2,rssi_range_B14,4,0.03743520174575356,1.0
1,M2,rssi_rel_B22,4,0.03674107775850425,1.0
1,M2,rssi_min_B19,4,0.036066326661567116,1.0
1,M2,rssi_max_B04,4,0.03488348744556882,1.0
1,M2,rssi_rel_B19,4,0.032185059432975574,1.0
1,M2,top3_beacon_rssi,4,0.028974641259685834,1.0
1,M2,rssi_min_B04,4,0.015313213365658234,1.0
1,M2,rssi_max_B08,4,0.013216842182184566,1.0
1,M2,rssi_rel_B07,4,0.012927623414965745,1.0
1,M2,rssi_max_B07,4,-0.0008816069978726249,1.0
1,M2,rssi_max_B18,4,-0.002476453292590511,1.0
1,M2,rssi_rel_B09,4,-0.00915627545335643,1.0
1,M2,rssi_rel_B11,4,-0.009476812672657582,1.0
1,M2,rssi_min_B18,4,-0.009776647103541626,1.0
1,M2,rssi_min_B07,4,-0.011482408347030747,1.0
1,M2,rssi_rel_B20,4,-0.013949487286642696,1.0
1,M2,rssi_max_B20,4,-0.01453445680880966,1.0
1,M2,rssi_rel_B10,4,-0.018798199860426145,1.0
1,M2,rssi_median_B18,4,-0.019833275319369206,1.0
1,M2,rssi_min_B20,4,-0.02153132324721314,1.0
1,M2,rssi_rel_B05,4,-0.02886130831470623,1.0
1,M2,rssi_min_B22,4,-0.030999365356388364,1.0
1,M2,rssi_rel_B06,4,-0.037383874510453684,1.0
1,M2,present_B19,3,0.38514484506121205,0.75
1,M2,present_B13,3,0.24276322133706743,0.75
1,M2,present_B20,3,0.20401207828808934,0.75
1,M2,rssi_iqr_all,3,0.16208096975133535,0.75
1,M2,present_B01,3,0.1479195574022059,0.75
1,M2,present_B11,3,0.1306087757449935,0.75
1,M2,rssi_range_all,3,0.1275820563803679,0.75
1,M2,rssi_rel_B21,3,0.08779882827866607,0.75
1,M2,rssi_rel_B23,3,0.08209134763690194,0.75
1,M2,rssi_median_B19,3,0.05496047435112292,0.75
1,M2,rssi_median_B08,3,0.030622665860522577,0.75
1,M2,rssi_median_B04,3,0.022921814845269076,0.75
