window_seconds,variant,feature_family,mean_abs_shap
1,M2,rssi_statistics,0.7588478863
1,M2,fingerprint_similarity,0.400429416295
1,M2,relative_rssi,0.327537942875
1,M2,presence,0.27062000982
1,M2,beacon_rank,0.05586936101
1,M2,frequency,0.05376794525
1,M2,other,0.020141379424999998
1,M2,coverage_distribution,0.011656202975
3,M5,rssi_statistics,0.689264018625
3,M5,frequency,0.6564683766
3,M5,relative_rssi,0.32477396095
3,M5,fingerprint_similarity,0.26835928205
3,M5,coverage_distribution,0.0514376344
3,M5,beacon_rank,0.04025417555
3,M5,other,0.026168071374999997
