window_seconds,variant,decoder,region,n_folds,n_samples,macro_f1_mean,macro_f1_std,accuracy_mean,balanced_accuracy_mean,weighted_f1_mean
1,M2,causal_smoothing,all,4,23505,0.3918044686373063,0.032534040035711,0.602340825998161,0.49102711946686234,0.5801450427525161
1,M2,causal_smoothing,boundary_15s,4,4438,0.33300277383736016,0.05060111270535525,0.4911297683604259,0.4347992776178713,0.45938707576881144
1,M2,causal_smoothing,stable,4,19067,0.45340179456942986,0.021884980298396323,0.6282927189056879,0.5570198061434577,0.6130956369329361
1,M2,fixed_decoder,all,4,23505,0.4441180167124888,0.05353169148592887,0.6601753570477988,0.4841514512381898,0.6226943666597737
1,M2,fixed_decoder,boundary_15s,4,4438,0.3564517440946049,0.08055160162766202,0.5197846079218801,0.4148785309005868,0.4764089332732959
1,M2,fixed_decoder,stable,4,19067,0.5408158018568421,0.06354374925001233,0.6930660379059872,0.5617778897652481,0.6593254732805879
1,M2,raw,all,4,23505,0.34746797488429443,0.022819466239887076,0.5426272373847364,0.4513163774095766,0.5387567970280751
1,M2,raw,boundary_15s,4,4438,0.3007959852502529,0.04081440616539072,0.43302166008330095,0.40304282458170376,0.4151506875196583
1,M2,raw,stable,4,19067,0.4004090984493961,0.007650230327216715,0.568639871419556,0.5033931365019334,0.5732576470571895
3,M5,causal_smoothing,all,4,9251,0.452630320475872,0.04408051088008385,0.6210259029605635,0.5754322434816792,0.615801242291806
3,M5,causal_smoothing,boundary_15s,4,1905,0.43447161021918124,0.04370976890326156,0.5464695261373385,0.5536385541661587,0.5249651767799841
3,M5,causal_smoothing,stable,4,7346,0.5348173289523568,0.08843715633301781,0.6414243342363135,0.6465113353178996,0.6443181932443307
3,M5,fixed_decoder,all,4,9251,0.4731656738675442,0.04197320586739859,0.6735655436181884,0.5557594440231985,0.6536197595989268
3,M5,fixed_decoder,boundary_15s,4,1905,0.4213820217901062,0.05255403407620113,0.564435826014072,0.5087729667790597,0.5254207151425921
3,M5,fixed_decoder,stable,4,7346,0.5750417712146729,0.08334738192970463,0.7082821440894047,0.6574794565788054,0.6952734693793767
3,M5,raw,all,4,9251,0.3880883871215669,0.03256836823318538,0.5601893432344867,0.4967070637115286,0.5671129880229058
3,M5,raw,boundary_15s,4,1905,0.3700241038186287,0.03980523649165797,0.4668300852024946,0.4755781986072679,0.45514754725739104
3,M5,raw,stable,4,7346,0.433841086301045,0.042208597377038866,0.5860596671579205,0.5169608223727198,0.6026404506767321
